folder_num,num,file_name,subject,filling_type,filling_level,back,light,camera_id,start,end
1,0,s0_fi0_fu0_b0_l0_c2,0,0,0,0,0,2,-1,-1
1,1,s0_fi0_fu0_b0_l1_c2,0,0,0,0,1,2,-1,-1
1,2,s0_fi0_fu0_b1_l0_c2,0,0,0,1,0,2,-1,-1
1,3,s0_fi0_fu0_b1_l1_c2,0,0,0,1,1,2,-1,-1
1,4,s0_fi1_fu1_b0_l0_c2,0,1,1,0,0,2,-1,-1
1,5,s0_fi1_fu1_b0_l1_c2,0,1,1,0,1,2,-1,-1
1,6,s0_fi1_fu1_b1_l0_c2,0,1,1,1,0,2,-1,-1
1,7,s0_fi1_fu1_b1_l1_c2,0,1,1,1,1,2,-1,-1
1,8,s0_fi1_fu2_b0_l0_c2,0,1,2,0,0,2,-1,-1
1,9,s0_fi1_fu2_b0_l1_c2,0,1,2,0,1,2,-1,-1
1,10,s0_fi1_fu2_b1_l0_c2,0,1,2,1,0,2,-1,-1
1,11,s0_fi1_fu2_b1_l1_c2,0,1,2,1,1,2,-1,-1
1,12,s0_fi2_fu1_b0_l0_c2,0,2,1,0,0,2,-1,-1
1,13,s0_fi2_fu1_b0_l1_c2,0,2,1,0,1,2,-1,-1
1,14,s0_fi2_fu1_b1_l0_c2,0,2,1,1,0,2,-1,-1
1,15,s0_fi2_fu1_b1_l1_c2,0,2,1,1,1,2,-1,-1
1,16,s0_fi2_fu2_b0_l0_c2,0,2,2,0,0,2,-1,-1
1,17,s0_fi2_fu2_b0_l1_c2,0,2,2,0,1,2,-1,-1
1,18,s0_fi2_fu2_b1_l0_c2,0,2,2,1,0,2,-1,-1
1,19,s0_fi2_fu2_b1_l1_c2,0,2,2,1,1,2,-1,-1
1,20,s0_fi3_fu1_b0_l0_c2,0,3,1,0,0,2,-1,-1
1,21,s0_fi3_fu1_b0_l1_c2,0,3,1,0,1,2,-1,-1
1,22,s0_fi3_fu1_b1_l0_c2,0,3,1,1,0,2,-1,-1
1,23,s0_fi3_fu1_b1_l1_c2,0,3,1,1,1,2,-1,-1
1,24,s0_fi3_fu2_b0_l0_c2,0,3,2,0,0,2,-1,-1
1,25,s0_fi3_fu2_b0_l1_c2,0,3,2,0,1,2,-1,-1
1,26,s0_fi3_fu2_b1_l0_c2,0,3,2,1,0,2,-1,-1
